sample.id,date,pop.active,pop.dorm,pop.dead
001,04/19/13,,,
002,04/25/13,,,
003,05/02/13,,,
004,05/09/13,,,
005,05/17/13,,,
006,05/24/13,,,
007,05/29/13,,,
008,06/07/13,,,
009,06/14/13,,,
010,06/21/13,,,
011,06/28/13,,,
012,07/05/13,,,
013,07/12/13,,,
014,07/19/13,,,
015,07/26/19,,,
016,08/01/13,,,
017,08/09/13,,,
018,08/16/13,,,
019,08/23/13,,,
020,08/30/13,,,
021,09/06/13,,,
022,09/13/13,,,
023,09/20/13,,,
024,09/27/13,,,
025,10/04/13,,,
026,10/11/13,,,
027,10/18/13,,,
028,10/25/13,,,
029,11/01/13,,,
030,11/08/13,,,
031,11/15/13,,,
032,11/22/13,,,
033,11/29/13,,,
034,12/06/13,,,
035,12/13/13,,,
036,12/20/13,,,
037,12/27/13,,,
038,01/03/14,,,
039,01/10/14,,,
040,01/17/14,,,
041,01/24/14,,,
042,01/31/14,,,
043,02/07/14,,,
044,02/14/14,,,
045,02/21/14,,,
046,02/28/14,,,
047,03/07/14,,,
048,03/14/14,,,
049,03/21/14,,,
050,03/28/14,,,
051,04/04014,,,
052,04/10/14,,,
053,04/18/14,,,
054,04/25/14,,,
055,05/03/14,,,
056,05/09/14,,,
057,05/17/14,,,
058,05/23/14,,,
059,05/30/14,,,
060,06/05/14,,,
061,06/13/14,,,
062,06/20/14,,,
063,06/27/14,,,
064,07/05/14,,,
065,07/13/14,,,
066,07/18/14,,,
067,07/26/14,,,
068,08/01/14,,,
069,08/08/14,,,
070,08/15/14,,,
071,08/23/14,,,
072,08/29/14,,,
073,09/06/14,,,
074,09/12/14,,,
075,09/19/14,,,
076,09/26/14,,,
077,10/04/14,,,
078,10/11/14,,,
079,10/17/14,,,
080,10/25/14,,,
081,10/31/14,,,
082,11/07/14,,,
083,11/14/14,,,
084,11/21/14,,,
085,11/29/14,,,
086,12/06/14,,,
087,12/13/14,,,
088,12/20/14,,,
089,12/26/14,,,
090,01/03/15,,,
091,01/09/15,,,
92,01/16/15,,,
93,01/24/15,,,
94,01/30/15,,,
95,02/06/25,,,
96,02/14/15,,,
97,02/21/15,,,
98,02/28/15,,,
99,03/07/15,,,
100,03/12/15,,,
101,03/22/15,,,
102,03/27/15,,,
103,04/04/15,,,
104,04/11/15,,,
105,04/19/15,,,
106,04/26/15,,,
107,05/03/15,,,
108,05/11/15,,,
109,05/17/15,,,
110,05/23/15,,,
111,05/29/15,,,
112,06/06/15,,,
113,06/12/15,,,
114,06/21/15,,,
115,06/29/15,,,
116,07/06/15,,,
117,07/11/15,,,
118,07/18/15,,,
119,07/26/15,,,
120,08/02/15,,,
121,08/17/15,,,
