Group,Specimen ID,Specimen,Plate ID,Well ID,Sample,Operator,Run Time,All Abs. Count,singlets Abs. Count,noise Abs. Count,cells Abs. Count,GFP.neg Abs. Count,GFP.pos Abs. Count,All Count,singlets Count,noise Count,cells Count,GFP.neg Count,GFP.pos Count,doublets Count,undefined Count
CalCurve_160117 - Copy,1,rerun,1,F1,A1_T3_rerun,administrator,16-Jan-18 12:56:43 PM,68047096,67401176,11074852,53998316,53998316,0,20000,19813,3221,15911,15911,0,187.00,681.00
CalCurve_160117 - Copy,1,rerun,1,F2,A2_T3_rerun,administrator,16-Jan-18 12:57:50 PM,27553723,26834707,11358291,14393837,14388431,5406,20000,19474,8249,10436,10433,3,526.00,789.00
CalCurve_160117 - Copy,1,rerun,1,F3,A1_T9_rerun,administrator,16-Jan-18 12:59:35 PM,61492898,60764581,20957993,38606830,17162285,21444545,20000,19768,6787,12584,5560,7024,232.00,397.00
CalCurve_160117 - Copy,1,rerun,1,F4,A2_T9_rerun,administrator,16-Jan-18 1:00:45 PM,33947259,33221062,14142775,18227224,9429064,8798160,20000,19594,8273,10785,5535,5250,406.00,536.00
CalCurve_160117 - Copy,1,rerun,1,F5,PBS_PBS_rerun,administrator,16-Jan-18 1:02:19 PM,7259200,6959200,5012800,1432800,1413600,19200,17372,16683,12034,3375,3327,48,689.00,1274.00
CalCurve_160117 - Copy,2,mix_x2,1,F6,T3_1_T9_0,administrator,16-Jan-18 1:38:58 PM,316133028,315189486,12327920,294895596,294895596,0,20000,19939,778,18663,18663,0,61.00,498.00
CalCurve_160117 - Copy,2,mix_x2,1,F7,T3_0.8_T9_0.2,administrator,16-Jan-18 1:39:46 PM,351722348,350454139,25432732,317789188,296743773,21045415,20000,19929,1432,18097,16894,1203,71.00,400.00
CalCurve_160117 - Copy,2,mix_x2,1,F8,T3_0.6_T9_0.4,administrator,16-Jan-18 1:40:33 PM,335626548,334545467,28386569,300098291,252760042,47338249,20000,19938,1660,17914,15090,2824,62.00,364.00
CalCurve_160117 - Copy,2,mix_x2,1,F9,T3_0.4_T9_0.6,administrator,16-Jan-18 1:41:21 PM,315538473,314553858,32123078,277061549,204076931,72984618,20000,19940,2012,17587,12967,4620,60.00,341.00
CalCurve_160117 - Copy,2,mix_x2,1,F10,T3_0.2_T9_0.8,administrator,16-Jan-18 1:42:09 PM,263824293,262855301,35155039,224754525,130322999,94431526,20000,19927,2616,17088,9917,7171,73.00,223.00
CalCurve_160117 - Copy,2,mix_x2,1,F11,T3_0_T9_1,administrator,16-Jan-18 1:42:59 PM,220367769,219437537,37977285,179783669,64499730,115294755,20000,19914,3433,16328,5853,10476,86.00,153.00
CalCurve_160117 - Copy,2,mix_x2,1,F12,PBS,administrator,16-Jan-18 1:43:49 PM,6141200,5930800,4292400,1091600,1038000,53600,15055,14544,10519,2665,2531,134,511.00,1360.00
